user_id,product_id,interaction_type,rating,review,interaction_date
U001,P061,Review,-,Visit investment especially general follow tend black similar.,2023-04-03
U001,P038,Review,-,Bad take bit without in upon.,2023-06-17
U001,P068,Click,-,-,2023-02-02
U001,P024,Click,-,-,2023-05-11
U001,P056,Purchase,1.1,-,2023-01-31
U001,P054,Review,-,Direction western surface.,2023-01-31
U002,P076,Review,-,Pass measure hand present.,2023-04-26
U002,P094,Click,-,-,2023-03-17
U002,P082,Click,-,-,2023-03-20
U003,P097,Purchase,2.6,-,2023-05-29
U003,P080,Purchase,3.4,-,2023-04-08
U003,P025,Click,-,-,2023-03-09
U003,P004,Purchase,3.9,-,2023-05-12
U003,P067,Purchase,3.7,-,2023-01-05
U003,P062,Purchase,4.3,-,2023-03-31
U003,P005,Purchase,4.5,-,2023-04-05
U003,P029,Purchase,2.6,-,2023-04-29
U003,P048,Review,-,Guy through teach specific.,2023-01-18
U004,P051,Click,-,-,2023-05-24
U004,P037,Review,-,Although pay past also hotel loss.,2023-06-29
U004,P063,Click,-,-,2023-01-14
U004,P014,Purchase,1.7,-,2023-04-26
U005,P038,Click,-,-,2023-06-28
U005,P066,Review,-,Case despite table during hold.,2023-04-12
U005,P063,Purchase,2.5,-,2023-02-23
U005,P093,Review,-,However above hard water fund see difficult.,2023-06-24
U005,P077,Click,-,-,2023-06-07
U005,P040,Click,-,-,2023-02-10
U005,P075,Review,-,On him bring growth build.,2023-02-02
U006,P064,Purchase,3.0,-,2023-02-18
U006,P034,Review,-,Accept assume budget technology war turn form.,2023-06-14
U006,P075,Review,-,Without choose majority side.,2023-04-06
U006,P041,Review,-,Any man green.,2023-06-14
U006,P040,Review,-,Career until pick policy similar.,2023-02-15
U006,P014,Purchase,2.6,-,2023-04-11
U006,P057,Click,-,-,2023-06-04
U006,P004,Review,-,Country agree gas those matter rest.,2023-03-14
U007,P071,Click,-,-,2023-01-26
U007,P006,Purchase,4.6,-,2023-03-11
U007,P031,Review,-,Lot argue development.,2023-01-09
U008,P024,Click,-,-,2023-06-18
U008,P071,Review,-,Adult employee address information instead.,2023-06-02
U008,P084,Review,-,Still wonder fund where.,2023-06-18
U008,P006,Click,-,-,2023-06-05
U008,P044,Click,-,-,2023-06-16
U008,P007,Review,-,West heavy class rule.,2023-01-29
U008,P031,Click,-,-,2023-01-07
U008,P089,Click,-,-,2023-03-06
U008,P003,Review,-,Region game because value.,2023-04-23
U009,P037,Review,-,Of condition many remain attention what lawyer.,2023-04-30
U009,P096,Review,-,Part soon great book ball agency.,2023-06-14
U009,P098,Review,-,Deal him answer open wait college my.,2023-04-12
U009,P078,Purchase,4.7,-,2023-04-22
U009,P083,Review,-,Not available make together after.,2023-01-26
U010,P066,Review,-,Manage term fast public their.,2023-01-18
U010,P007,Purchase,1.5,-,2023-01-26
U010,P070,Purchase,2.8,-,2023-04-10
U010,P083,Purchase,4.7,-,2023-04-26
U011,P085,Click,-,-,2023-05-12
U011,P088,Purchase,1.4,-,2023-03-29
U011,P062,Purchase,3.4,-,2023-02-03
U012,P059,Click,-,-,2023-01-24
U012,P088,Click,-,-,2023-06-01
U012,P039,Click,-,-,2023-05-14
U012,P043,Purchase,2.4,-,2023-03-29
U012,P096,Click,-,-,2023-03-12
U012,P009,Review,-,If nor practice month each maybe sort.,2023-01-07
U012,P016,Review,-,Set example too most Mrs.,2023-03-08
U013,P081,Purchase,5.0,-,2023-03-18
U013,P056,Click,-,-,2023-06-13
U013,P015,Click,-,-,2023-03-20
U013,P055,Review,-,See offer kitchen.,2023-03-07
U013,P017,Purchase,3.6,-,2023-04-03
U013,P025,Purchase,1.5,-,2023-03-13
U013,P068,Click,-,-,2023-02-12
U013,P098,Review,-,Hair believe score game indicate space.,2023-02-24
U014,P002,Review,-,Or property low budget more push fact collection.,2023-05-16
U014,P050,Review,-,Law western conference letter in sense house.,2023-02-28
U014,P053,Click,-,-,2023-02-17
U014,P045,Purchase,4.2,-,2023-01-23
U014,P043,Review,-,Bar box where day war table.,2023-02-28
U014,P057,Click,-,-,2023-04-02
U015,P071,Review,-,Become evening stay decision happen prove adult.,2023-04-10
U015,P052,Purchase,3.2,-,2023-01-18
U015,P089,Purchase,4.9,-,2023-01-23
U015,P037,Purchase,4.1,-,2023-06-17
U015,P037,Review,-,American trade service drive forward tonight.,2023-04-09
U016,P055,Review,-,Almost program herself send.,2023-04-12
U016,P005,Purchase,1.8,-,2023-05-18
U016,P075,Review,-,Produce story some sound century always.,2023-01-09
U016,P013,Click,-,-,2023-05-02
U016,P053,Review,-,Benefit week life month very song quite.,2023-02-04
U016,P075,Review,-,System foreign plant benefit boy head.,2023-04-18
U016,P012,Click,-,-,2023-01-24
U016,P061,Review,-,Size source upon someone Congress.,2023-06-19
U017,P035,Review,-,Public project body final.,2023-02-06
U017,P007,Click,-,-,2023-01-27
U017,P014,Click,-,-,2023-06-01
U018,P020,Click,-,-,2023-04-12
U018,P007,Review,-,Financial quickly most line far.,2023-05-28
U018,P082,Purchase,3.4,-,2023-02-07
U018,P007,Review,-,Around test safe knowledge think per nation.,2023-06-21
U018,P035,Purchase,4.8,-,2023-04-01
U018,P066,Click,-,-,2023-06-20
U018,P079,Purchase,2.7,-,2023-05-14
U018,P057,Click,-,-,2023-04-14
U018,P098,Review,-,Sport indeed many get world soldier.,2023-03-25
U019,P020,Purchase,2.7,-,2023-06-13
U019,P062,Review,-,Base way green leader name year specific.,2023-06-17
U019,P035,Purchase,4.4,-,2023-02-09
U019,P062,Purchase,3.6,-,2023-04-03
U019,P032,Click,-,-,2023-06-23
U019,P025,Click,-,-,2023-01-28
U019,P044,Review,-,Employee image color them become check.,2023-06-19
U020,P090,Click,-,-,2023-04-07
U020,P025,Review,-,Not once woman think change.,2023-04-28
U020,P090,Purchase,3.9,-,2023-04-22
U020,P030,Review,-,Least college it high play seem.,2023-05-16
